,CustomerID1,CustomerID2,Similarity
0,1200,24897,0.939524
0,1200,7448,0.934714
0,1200,1660,0.933976
0,1200,14912,0.932751
0,1200,34503,0.932026
0,1200,7034,0.93092
0,1200,13730,0.930823
0,1200,36452,0.930695
0,1200,8604,0.929582
0,1200,313,0.929524
0,3650,5964,0.965507
0,3650,8783,0.949264
0,3650,26915,0.9457180000000001
0,3650,4472,0.944699
0,3650,36416,0.94346
0,3650,30584,0.94283
0,3650,33540,0.941803
0,3650,16558,0.941172
0,3650,25016,0.939029
0,3650,24799,0.932145
0,10400,42394,0.944499
0,10400,19547,0.940211
0,10400,34689,0.939046
0,10400,9331,0.939018
0,10400,27072,0.933332
0,10400,17420,0.931766
0,10400,20404,0.927662
0,10400,20525,0.924995
0,10400,22547,0.924415
0,10400,41843,0.923687
0,14930,17418,0.9151549999999999
0,14930,7583,0.910702
0,14930,11778,0.905634
0,14930,16439,0.903467
0,14930,12628,0.901016
0,14930,15797,0.900259
0,14930,29092,0.900243
0,14930,13072,0.899564
0,14930,10729,0.896629
0,14930,10890,0.894088
0,22330,15717,0.990623
0,22330,16042,0.952412
0,22330,30118,0.94133
0,22330,23250,0.910487
0,22330,16406,0.910218
0,22330,23394,0.90991
0,22330,15058,0.90769
0,22330,14698,0.905428
0,22330,4884,0.903394
0,22330,13285,0.901809
0,25671,21113,0.938746
0,25671,40717,0.937843
0,25671,23602,0.937643
0,25671,27373,0.935806
0,25671,19547,0.931257
0,25671,32030,0.930599
0,25671,11102,0.929453
0,25671,23519,0.928209
0,25671,9606,0.928197
0,25671,41282,0.928031
0,29311,4542,0.930732
0,29311,234,0.928659
0,29311,26497,0.926302
0,29311,6596,0.923633
0,29311,28454,0.921609
0,29311,7929,0.91771
0,29311,34959,0.914729
0,29311,7053,0.913704
0,29311,33851,0.913663
0,29311,35247,0.913059
0,34650,2258,0.937151
0,34650,32087,0.936725
0,34650,24793,0.934759
0,34650,35282,0.931501
0,34650,8462,0.929016
0,34650,34618,0.926878
0,34650,1351,0.926502
0,34650,2968,0.925512
0,34650,652,0.924749
0,34650,8169,0.924373
0,39200,39233,0.949668
0,39200,40086,0.947991
0,39200,41662,0.946898
0,39200,40901,0.946624
0,39200,32422,0.945982
0,39200,41136,0.944036
0,39200,38913,0.940832
0,39200,29726,0.940148
0,39200,27681,0.938957
0,39200,39631,0.938567
0,42000,39897,0.965649
0,42000,27907,0.955727
0,42000,26435,0.954478
0,42000,26216,0.953809
0,42000,40642,0.948753
0,42000,29886,0.947494
0,42000,32523,0.94631
0,42000,29573,0.946236
0,42000,8078,0.945127
0,42000,32895,0.944703
