2020,"Towards a Multi-Perspective Methodology for Big Data Requirements.",IEEE BigData,"Evangelia Kavakli,Rizos Sakellariou,Iliada Eleftheriou,Julien-Etienne Mascolo"
2018,"MCDD: Multi-class Distribution Model for Large Scale Classification.",IEEE BigData,"Mayanka Chandrashekar,Yugyung Lee"
2019,"Remote Sensing Object Localization with Deep Heterogeneous Superpixel Features.",IEEE BigData,"Alex Yang,James Alex Hurt,Charlie T. Veal,Grant J. Scott"
2015,"Machine learning for stress detection from ECG signals in automobile drivers.",IEEE BigData,"N. Keshan,P. V. Parimi,Isabelle Bichindaritz"
2020,"An Investigation of Containment Measures Against the COVID-19 Pandemic in Mainland China.",IEEE BigData,"Ji Liu,Xiakai Wang,Haoyi Xiong,Jizhou Huang,Siyu Huang,Haozhe An,Dejing Dou,Haifeng Wang"
2014,"Scalable solar image Retrieval with Lucene.",IEEE BigData,"Juan M. Banda,Rafal A. Angryk"
2014,"ReCT: Improving MapReduce performance under failures with resilient checkpointing tactics.",IEEE BigData,"Hao Wang,Haopeng Chen,Fei Hu"
2017,"Bayesian multi-view models for member-job matching and personalized skill recommendations.",IEEE BigData,"Abhinav Maurya,Rahul Telang"
2019,"Multi-step Forecasting via Multi-task Learning.",IEEE BigData,"Shayan Jawed,Ahmed Rashed,Lars Schmidt-Thieme"
2020,"Detection of Previously Unseen Malware using Memory Access Patterns Recorded Before the Entry Point.",IEEE BigData,"Sergii Banin,Geir Olav Dyrkolbotn"
2017,"Multiscale graph theoretical tools reveal subtle patterns in big geospatial data.",IEEE BigData,"Ronald D. Hagan,Charles A. Phillips,Michael A. Langston,Bradley J. Rhodes"
2018,"LIGHT: Enabling Instant Communication for Web Surfers with Momentary Needs.",IEEE BigData,"Byron J. Gao,Jose A. Lopez"
2020,"Sampling Approach Matters: Active Learning for Robotic Language Acquisition.",IEEE BigData,"Nisha Pillai,Edward Raff,Francis Ferraro,Cynthia Matuszek"
2016,"Analytical method of web user behavior using Hidden Markov Model.",IEEE BigData,"Hirotaka Kawazu,Fujio Toriumi,Masanori Takano,Kazuya Wada,Ichiro Fukuda"
2019,"Clustered Hierarchical Entropy-Scaling Search of Astronomical and Biological Data.",IEEE BigData,"Najib Ishaq,George Student,Noah M. Daniels"
