2018,"HiExpan: Task-Guided Taxonomy Construction by Hierarchical Tree Expansion.",KDD,"Jiaming Shen,Zeqiu Wu,Dongming Lei,Chao Zhang 0014,Xiang Ren 0001,Michelle T. Vanni,Brian M. Sadler,Jiawei Han 0001"
2019,"Revisiting kd-tree for Nearest Neighbor Search.",KDD,"Parikshit Ram,Kaushik Sinha"
2016,"Infinite Ensemble for Image Clustering.",KDD,"Hongfu Liu,Ming Shao,Sheng Li 0001,Yun Fu 0001"
1998,"Finding Frequent Substructures in Chemical Compounds.",KDD,"Luc Dehaspe,Hannu Toivonen,Ross D. King"
2018,"TruePIE: Discovering Reliable Patterns in Pattern-Based Information Extraction.",KDD,"Qi Li 0012,Meng Jiang 0001,Xikun Zhang 0001,Meng Qu,Timothy P. Hanratty,Jing Gao 0004,Jiawei Han 0001"
2008,"Anonymizing transaction databases for publication.",KDD,"Yabo Xu,Ke Wang 0001,Ada Wai-Chee Fu,Philip S. Yu"
2013,"Repetition-aware content placement in navigational networks.",KDD,"Dóra Erdös,Vatche Ishakian,Azer Bestavros,Evimaria Terzi"
2002,"Enhanced word clustering for hierarchical text classification.",KDD,"Inderjit S. Dhillon,Subramanyam Mallela,Rahul Kumar"
2011,"Real-time bidding algorithms for performance-based display ad allocation.",KDD,"Ye Chen,Pavel Berkhin,Bo Anderson,Nikhil R. Devanur"
2018,"Data Science for Financial Applications.",KDD,"David J. Hand"
2008,"Bridging centrality: graph mining from element level to group level.",KDD,"Woochang Hwang,Taehyong Kim,Murali Ramanathan,Aidong Zhang"
2009,"Mind the gaps: weighting the unknown in large-scale one-class collaborative filtering.",KDD,"Rong Pan,Martin Scholz"
2013,"A data mining driven risk profiling method for road asset management.",KDD,"Daniel Emerson,Justin Weligamage,Richi Nayak"
2014,"Box drawings for learning with imbalanced data.",KDD,"Siong Thye Goh,Cynthia Rudin"
1999,"Data Mining: Crossing the Chasm (Invited talk, Abstract only).",KDD,"Rakesh Agrawal 0001"
2016,"CompanyDepot: Employer Name Normalization in the Online Recruitment Industry.",KDD,"Qiaoling Liu,Faizan Javed,Matt McNair"
