"from","to","weight"
"Murat Kayri","Ömer Faruk Ertugrul",2
"Nihat Inanç","Ömer Faruk Ertugrul",2
"Aras Can Onal","A. Murat Ozbayoglu",2
"A. Murat Ozbayoglu","Erdogan Dogdu",2
"Omer Berat Sezer","A. Murat Ozbayoglu",2
"Madhavan R. Padmanabhan","A. Pavan 0001",2
"Naresh Somisetty","A. Pavan 0001",2
"Samik Basu 0001","A. Pavan 0001",2
"Amit Gajbhiye","A. Stephen McGough",2
"Noura Al Moubayed","A. Stephen McGough",2
"Sardar F. Jaf","A. Stephen McGough",2
"Steven Bradley","A. Stephen McGough",2
"Ângelo Cardoso","Fabio Daolio",2
"Ângelo Cardoso","Saúl Vargas",2
"Çigdem Aslay","Aristides Gionis",2
"Çigdem Aslay","Gianmarco De Francisci Morales",2
"Çigdem Aslay","Muhammad Anis Uddin Nasir",2
"Éric Gélinas","Brigitte Jaumard",2
"Éric Gélinas","Mariam Tagmouti",2
"Monika Sharma","Éric Gélinas",2
"Tristan Glatard","Éric Gélinas",2
"Anja Gruenheid","Ádám D. Lelkes",2
"Ádám D. Lelkes","Cong Yu 0001",2
"Flip Korn","Ádám D. Lelkes",2
"Jiaming Shen","Ádám D. Lelkes",2
"Ádám D. Lelkes","Jiawei Han 0001",2
"Jingbo Shang","Ádám D. Lelkes",2
"Tianhang Sun","Ádám D. Lelkes",2
"Xingbang Liu","Ádám D. Lelkes",2
"Benjamin Steer","Álvaro García-Recuero",2
"Damilola Ibosiola","Álvaro García-Recuero",2
"Álvaro García-Recuero","Gareth Tyson",2
"Álvaro García-Recuero","Gianluca Stringhini",2
"Álvaro García-Recuero","Steve Uhlig",2
"Connor Mullane","Aakanksha Singh",2
"Mohammad Hanaee","Aakanksha Singh",2
"Richard Marciano","Aakanksha Singh",2
"William Underwood","Aakanksha Singh",2
"Aakanksha Singh","Zayden Tethong",2
"Aamir Mandviwalla","Bo Ji",2
"Aamir Mandviwalla","Keita Ohshiro",2
"Sachini Jayasekara","Aaron Harwood",4
"Shanika Karunasekera","Aaron Harwood",4
"Xunyun Liu","Aaron Harwood",2
"Aastha Jain","Hema Raghavan",2
"Kijung Shin","Aastha Jain",2
"Mahdi Shafiei","Aastha Jain",2
"Myunghwan Kim 0002","Aastha Jain",2
"Abdalghani Abujabal","Gerhard Weikum",4
"Abdalghani Abujabal","Jannik Strötgen",2
"Abdalghani Abujabal","Mohamed Yahya",2
"Abdalghani Abujabal","Rishiraj Saha Roy",4
"Zhen Jia","Abdalghani Abujabal",2
"Abdel-Hameed A. Badawy","Janice O. McMahon",2
"Matthew Bredin","Abdel-Hameed A. Badawy",2
"Abdel-Hameed A. Badawy","Shannon K. Kuntz",2
"Abdeltawab M. Hendawi","Ankur Teredesai",2
"Abdeltawab M. Hendawi","Jayant Gupta",2
"Abdeltawab M. Hendawi","Jiayi Liu",2
"Abdeltawab M. Hendawi","Mohak Shah",2
"Abdeltawab M. Hendawi","Mohamed H. Ali",2
"Abdeltawab M. Hendawi","Naveen Ramakrishnan",2
"Abdulhakim Ali Qahtan","Ahmed K. Elmagarmid",2
"Abdulhakim Ali Qahtan","Mourad Ouzzani",2
"Abdulhakim Ali Qahtan","Nan Tang 0001",2
"Abdulhakim Ali Qahtan","Raul Castro Fernandez",2
"Abdullah Al-Mamun 0001","Dongfang Zhao 0001",4
"Abdullah Al-Mamun 0001","Hui Lin",2
"Abdullah Al-Mamun 0001","Mohammad Sadoghi",2
"Abdullah Al-Mamun 0001","Tonglin Li",4
"Ye Niu","Abdullah Al-Mamun 0001",2
"Abdullah Al-Mamun 0001","Yi Zhao",2
"Abdullah Alfarrarjeh","Akshay Deshmukh",2
"Abdullah Alfarrarjeh","Cyrus Shahabi",4
"Abdullah Alfarrarjeh","Dweep Trivedi",2
"Abdullah Alfarrarjeh","Seon Ho Kim",4
"Abdullah Alfarrarjeh","Shivnesh Rajan",2
"Hossein Hamooni","Abdullah Mueen",2
"Abdulrahman Azab","Antti Pursula",2
"Abdulrahman Azab","Eivind Hovig",2
"Abdulrahman Azab","Hein Meling",2
"Andrea Gulino","Abdulrahman Kaitoua",2
"Arif Canakoglu","Abdulrahman Kaitoua",2
"Abdulrahman Kaitoua","Luca Nanni",2
"Abdulrahman Kaitoua","Marco Masseroli",2
"Abdulrahman Kaitoua","Pietro Pinoli",2
"Stefano Ceri","Abdulrahman Kaitoua",2
"Niki Pissinou","Abdur R. Shahid",2
"S. S. Iyengar 0001","Abdur R. Shahid",2
"Samia Tasnim","Abdur R. Shahid",2
"Yujian Charles Tang","Abdur R. Shahid",2
"Abdurrahman Yasar","Ümit V. Çatalyürek",2
"Abhijin Adiga","Chris J. Kuhlman",2
"Abhijin Adiga","Daniel J. Rosenkrantz",2
"Abhijin Adiga","Madhav V. Marathe",2
"Abhijin Adiga","Richard Edwin Stearns",2
"Abhijin Adiga","S. S. Ravi",2
"Abhijin Adiga","Vanessa Cedeno-Mieles",2
"Abhijit Suresh","Bill Foland",2
"Abhijit Suresh","Isabella Huang",2
"Abhijit Suresh","Jennifer Jacobs",2
"Abhijit Suresh","Tamara Sumner",2
"Abhijit Suresh","Wayne H. Ward",2
"Fabrício Benevenuto","Abhijnan Chakraborty",2
"Filipe Nunes Ribeiro","Abhijnan Chakraborty",2
"Abhijnan Chakraborty","Juhi Kulshrestha",2
"Abhijnan Chakraborty","Krishna P. Gummadi",2
"Lucas Henrique C. Lima","Abhijnan Chakraborty",2
"Abhijnan Chakraborty","Mahmoudreza Babaei",2
"Abhimanyu Das","Anthony Kim",2
"Abhimanyu Das","Chaitanya Swamy",2
"Abhimanyu Das","Debmalya Panigrahi",2
"Abhimanyu Das","Sreenivas Gollapudi",2
"Abhimanyu Dubey","Esteban Moro",2
"Abhimanyu Dubey","Iyad Rahwan",2
"Abhimanyu Dubey","Manuel Cebrián",2
"Abon Chaudhuri","Abhinandan Krishnan",2
"Aditya Subramanian","Abhinandan Krishnan",2
"Abhinandan Krishnan","Alessandro Magnani",2
"Paolo Messina","Abhinandan Krishnan",2
"Samrat Kokkula","Abhinandan Krishnan",2
"Abhinandan Krishnan","Shreyansh Gandhi",2
"Abhinandan Krishnan","Venkatesh Kandaswamy",2
"Abhinav Goel","Ronald D. Blanton",2
"Abhinav Goel","Zeye Liu 0001",2
"Abhinav Khattar","Arpit Gogia",2
"Abhinav Khattar","Ponnurangam Kumaraguru",2
"Srishti Gupta","Abhinav Khattar",2
"Abhinav Khattar","Tanmoy Chakraborty 0002",2
"Charles Siegel","Abhinav Vishnu",2
"Garrett B. Goh","Abhinav Vishnu",2
"Abhinav Vishnu","Nathan Oken Hodas",2
"Abhinav Wagle","Don Matheson",2
"Abhinav Wagle","Junwei Pan",2
"Miao Chen","Abhinav Wagle",2
"Abhinav Wagle","Michael Natkovich",2
"Yizhi Mao","Abhinav Wagle",2
"Abhishek Tiwari","Erman Pattuk",2
